feature	logFC	AveExpr	t	P.Value	adj.P.Val	B
mir_chr12_12018|chr12:45979098-45979159	-1.403435626	-5.649049336	-1.546891543	0.142610327	0.743137096	-4.925537702
mir703-5p|chr3:156526349-156526404	-1.381685438	-3.072275646	-1.497625352	0.154863012	0.764033246	-4.938993696
mir703-5p|chr8:85388003-85388058	-1.381685438	-3.072275646	-1.497625352	0.154863012	0.764033246	-4.938993696
mir_chr1_1435|chr1:226107321-226107383	-1.237467613	-1.578860657	-1.586857553	0.133282022	0.743137096	-4.939204511
"mir124-3-3p,mir124-4-3p,mir124a-3-3p,mir124-6-3p|chr3:180116169-180116212"	-1.844715455	-3.517990124	-1.482253753	0.158861939	0.764033246	-4.940337193
"mir23a-3-5p,mir23b-5p|chr17:816034-816086"	-1.390169916	-4.845464954	-1.481955502	0.158940373	0.764033246	-4.962190055
"mir30c-3p,mir30c2-3p,mir30c-2-3p|chr9:28397605-28397647"	0.928823804	5.850841609	1.897657423	0.077050139	0.650588924	-4.963671621
mir_chrX_33873|chrX:33863499-33863559	-1.558442851	-3.821970272	-1.454631746	0.166263962	0.764033246	-4.966862798
"mir24a-3-5p,mir24-1-5p,mir24a-5p,mir24b-5p,mir24-3-5p,mir3074-1-5p,mir3074-5p,mir24a-1-5p|chr17:816811-816869"	-1.226048775	-0.478138264	-1.615229366	0.126979834	0.743137096	-5.003931602
"mir365-3p,mir365-2-3p,mir365-3-3p|chr10:64570059-64570114"	1.3480796	-5.318352939	1.415417034	0.177260869	0.764033246	-5.03833466
mir_chr2_17355|chr2:48239619-48239679	1.183522166	-1.905651291	1.508189698	0.152163784	0.764033246	-5.057397487
mir485-3p|chr6:143047695-143047734	-1.571989588	-4.739362011	-1.403585565	0.180693717	0.764033246	-5.059744042
"mir369-5p,mir3578-5p|chr6:143056087-143056145"	-1.075352365	-0.401498898	-1.581399856	0.134524452	0.743137096	-5.060791453
mir_chr3_20116|chr3:130337653-130337704	1.309040717	-5.332056836	1.396950771	0.182642455	0.764033246	-5.060976154
mir_chr9_33081|chr9:115657136-115657196	1.309040717	-5.332056836	1.396950771	0.182642455	0.764033246	-5.060976154
mir_chr18_14275|chr18:22754683-22754745	1.309040717	-5.332056836	1.396950771	0.182642455	0.764033246	-5.060976154
mir_chr2_17993|chr2:215694062-215694130	1.309040717	-5.332056836	1.396950771	0.182642455	0.764033246	-5.060976154
mir3583-5p|chr5:154400858-154400903	-1.45664049	-3.866770938	-1.376783768	0.188671319	0.764033246	-5.06208808
mir342-3p|chr6:141731294-141731343	1.000375866	3.15809167	1.757952803	0.099024036	0.68255937	-5.067567382
"mir378b-5p,rno-mir-378b-5p|chr5:10415487-10415529"	-1.253902327	-5.735929901	-1.43847961	0.170723226	0.764033246	-5.069084374
mir615-3p|chr7:142420421-142420467	-1.363635262	-3.900878661	-1.362156083	0.193144614	0.764033246	-5.078406353
"mir301-5p,mir301a-1-5p,mir301-1-5p,mir301a-5p|chr10:75682867-75682917"	1.107311206	-0.758232247	1.554090527	0.140890324	0.743137096	-5.096658908
mir_chr11_6990|chr11:28166973-28167059	1.302532818	-5.332056836	1.365351388	0.192160196	0.764033246	-5.099357242
mir7687-5p|chr19:64834978-64835007	1.302532818	-5.332056836	1.365351388	0.192160196	0.764033246	-5.099357242
mir_chr5_24321|chr5:78343649-78343699	1.302532818	-5.332056836	1.365351388	0.192160196	0.764033246	-5.099357242
"mir340-5p,rno-mir-340-5p|chr10:35339302-35339351"	0.797661232	7.723141202	1.837584408	0.085901891	0.676795766	-5.103196315
"mir340-5p,rno-mir-340-5p|chr10:35327185-35327234"	0.797661232	7.723141202	1.837584408	0.085901891	0.676795766	-5.103196315
mir325-3p|chrX:77141008-77141057	-1.574015896	-3.14122203	-1.358903741	0.194150792	0.764033246	-5.107341969
mir301b-5p|chr11:91181962-91182009	1.293124813	-5.335929901	1.354590851	0.195491601	0.764033246	-5.112247326
mir878-5p|chrX:151278401-151278439	-1.495308401	-4.867671217	-1.35771147	0.194520704	0.764033246	-5.11669605
mir6540-5p|chr11:62814480-62814533	-1.51058492	-3.621907479	-1.329885098	0.203316827	0.76694957	-5.121518329
"mir204-1-5p,mir204-2-5p,mir211-5p|chr1:126151168-126151221"	-1.390924362	-4.98317331	-1.356793842	0.194805794	0.764033246	-5.123504526
mir_chr16_12763|chr16:56517473-56517532	1.260750704	-3.750954403	1.361469962	0.193356528	0.764033246	-5.125119369
mir690-5p|chr13:57041199-57041222	-1.24205529	-5.692675006	-1.390934194	0.184424419	0.764033246	-5.126260694
mir_chr1_3884|chr1:266275827-266275885	-1.329664645	-2.925632892	-1.35043099	0.196791911	0.764033246	-5.130207041
"mir9b-3p,mir9a-3-3p,mir3597-3-3p,mir9-3-3p,mir9-7-3p|chr1:142191167-142191224"	1.514211078	-5.203410458	1.335117445	0.201638885	0.765147556	-5.137478347
mir_chr3_21185|chr3:89512943-89513025	1.312712367	-2.724964463	1.393262176	0.183733252	0.764033246	-5.140306244
mir_chr1_1851|chr1:270475151-270475211	1.261847122	-5.351963971	1.312695672	0.208908148	0.769820489	-5.161674644
mir_chr1_3951|chr1:272852421-272852485	1.261847122	-5.351963971	1.312695672	0.208908148	0.769820489	-5.161674644
"rno-mir-679-3p,mir679-3p,mir1193-3p|chr6:143026862-143026989"	1.233744146	-4.853905692	1.304726795	0.211541561	0.772431063	-5.168438399
mir_chr5_25834|chr5:152220084-152220148	-0.941641554	0.728778578	-1.57289142	0.136481036	0.743137096	-5.169101878
mir682-3p|chr9:79775857-79775889	1.241460056	-3.694421495	1.315820705	0.207882611	0.769820489	-5.176187187
mir3082-3p|chr10:15011409-15011441	1.303595479	-3.347629162	1.331165597	0.202905157	0.76694957	-5.179427323
mir_chr17_13034|chr17:18067953-18068010	-1.159220182	-5.796442455	-1.346145815	0.198138678	0.764033246	-5.185054008
mir_chr1_439|chr1:79607610-79607686	-1.159220182	-5.796442455	-1.346145815	0.198138678	0.764033246	-5.185054008
"rno-mir-128-2-5p,mir128-2-5p|chr8:119718226-119718268"	-1.159220182	-5.796442455	-1.346145815	0.198138678	0.764033246	-5.185054008
mir_chr3_20618|chr3:14323253-14323316	-1.159220182	-5.796442455	-1.346145815	0.198138678	0.764033246	-5.185054008
"mir344i-5p,rno-mir-344i-5p,mir344f-5p|chr1:123634993-123635042"	-1.159220182	-5.796442455	-1.346145815	0.198138678	0.764033246	-5.185054008
mir_chr17_13001|chr17:12173240-12173297	-1.159220182	-5.796442455	-1.346145815	0.198138678	0.764033246	-5.185054008
mir_chr8_31406|chr8:103988494-103988553	-1.159220182	-5.796442455	-1.346145815	0.198138678	0.764033246	-5.185054008
mir494-3p|chr6:143026582-143026624	-1.159220182	-5.796442455	-1.346145815	0.198138678	0.764033246	-5.185054008
mir_chr9_31810|chr9:15797510-15797568	-1.159220182	-5.796442455	-1.346145815	0.198138678	0.764033246	-5.185054008
mir3085-5p|chr1:268976751-268976795	-1.159220182	-5.796442455	-1.346145815	0.198138678	0.764033246	-5.185054008
mir_chr10_9278|chr10:90770518-90770580	-1.159220182	-5.796442455	-1.346145815	0.198138678	0.764033246	-5.185054008
mir3093-5p|chr2:206985385-206985428	-1.159220182	-5.796442455	-1.346145815	0.198138678	0.764033246	-5.185054008
"mir138-3p,mir138-1-3p|chr8:130886817-130886866"	1.423526633	-5.296282044	1.292299722	0.215700906	0.772431063	-5.185746293
mir_chr8_30728|chr8:126572519-126572573	-1.171467	-5.796442455	-1.343176066	0.199076375	0.764033246	-5.188623158
mir_chr1_472|chr1:81505733-81505794	-1.171467	-5.796442455	-1.343176066	0.199076375	0.764033246	-5.188623158
mir_chr4_22333|chr4:178572471-178572544	-1.171467	-5.796442455	-1.343176066	0.199076375	0.764033246	-5.188623158
mir_chr1_2487|chr1:85513761-85513821	-1.171467	-5.796442455	-1.343176066	0.199076375	0.764033246	-5.188623158
mir_chr10_5613|chr10:37145139-37145195	-1.171467	-5.796442455	-1.343176066	0.199076375	0.764033246	-5.188623158
mir_chr16_12486|chr16:3728114-3728191	-1.171467	-5.796442455	-1.343176066	0.199076375	0.764033246	-5.188623158
mir_chr3_30419|chr3:66503605-66503665	-1.171467	-5.796442455	-1.343176066	0.199076375	0.764033246	-5.188623158
mir_chr10_5601|chr10:35684540-35684621	-1.171467	-5.796442455	-1.343176066	0.199076375	0.764033246	-5.188623158
mir_chr10_5561|chr10:32125864-32125927	-1.171467	-5.796442455	-1.343176066	0.199076375	0.764033246	-5.188623158
mir_chr1_1897|chr1:273487955-273488024	-1.171467	-5.796442455	-1.343176066	0.199076375	0.764033246	-5.188623158
mir_chr8_30292|chr8:60382089-60382146	-1.15618523	-5.798372489	-1.343071385	0.199109493	0.764033246	-5.188816311
"mir1-3p,mir3571-3p,mir1b-3p,mir1a-1-3p,mir1a-2-3p,mir1-2-3p|chr18:2087889-2087950"	-1.15618523	-5.798372489	-1.343071385	0.199109493	0.764033246	-5.188816311
mir_chr19_15255|chr19:38399157-38399246	-1.168362159	-5.798372489	-1.340154795	0.200034003	0.764033246	-5.192315462
mir_chr11_6628|chr11:35590129-35590187	-1.48764322	-3.725839562	-1.265724109	0.224813263	0.779886701	-5.19357453
"mir3579-5p,mir380-5p|chr6:143022700-143022756"	-1.122630268	-0.097395191	-1.503602383	0.153330978	0.764033246	-5.194000391
mir_chr12_8141|chr12:13644051-13644141	-1.1500496	-5.802271724	-1.336834197	0.201090776	0.765147556	-5.196428614
"mir125b-3-3p,mir125b-3p,mir3588-3p,mir125b-2-3p|chr11:19752270-19752323"	-0.947055429	1.866309081	-1.608595103	0.128430182	0.743137096	-5.196712914
mir130b-5p|chr11:91182319-91182360	1.286164507	-2.170934315	1.383947943	0.186511335	0.764033246	-5.197076014
"rno-mir-1306-3p,mir1306-3p|chr11:89951609-89951649"	-1.30843322	-4.311871637	-1.250625601	0.230123768	0.790856615	-5.21288832
mir_chrX_33839|chrX:21923945-21924001	-1.262874014	-4.665002995	-1.263159654	0.225708386	0.779886701	-5.213644968
"mir15b-5p,rno-mir-15b-5p|chr2:184967040-184967089"	1.07969803	7.431694443	1.762463085	0.09823612	0.68255937	-5.214598128
"mir125b-3-5p,mir125b-5p,mir3588-5p,mir125b-2-5p|chr11:19752323-19752376"	0.768413026	7.525988308	1.760690535	0.098545113	0.68255937	-5.218414693
mir_chr9_32955|chr9:92759840-92759898	1.141888371	-4.128739744	1.26456641	0.225217012	0.779886701	-5.218652719
mir_chr12_8078|chr12:10256707-10256764	-0.984572801	-0.207332224	-1.476302426	0.160433131	0.764033246	-5.221173389
"mir3548-5p,mir200a-5p|chr5:176963434-176963494"	-0.839440018	2.925596542	-1.632372382	0.123296987	0.738045344	-5.225116745
mir322-5p|chrX:153211184-153211231	-0.803975104	7.9539033	-1.754826877	0.099573367	0.68255937	-5.23094371
mir322-5p|chrX:152773467-152773514	-0.803975104	7.9539033	-1.754826877	0.099573367	0.68255937	-5.23094371
"mir34-3p,mir34a-3p|chr5:170733292-170733343"	1.23229648	-3.276768669	1.285223441	0.218098183	0.772431063	-5.235201453
mir_chr1_3909|chr1:267922853-267922919	0.915830066	0.884244465	1.546106782	0.142798893	0.743137096	-5.238001427
mir_chr9_32869|chr9:81930076-81930135	-1.358915997	-4.796082006	-1.246517521	0.231585562	0.791699087	-5.239567725
mir_chr4_21986|chr4:32387151-32387212	1.104216066	-4.137426428	1.241059687	0.233538868	0.79476349	-5.244329409
"mir344-1-3p,mir344a-2-3p,mir344-2-3p,mir344c-3p,mir344-3p|chr1:123441044-123441098"	1.12713297	-2.96916972	1.286839468	0.21754886	0.772431063	-5.246435836
mir_chr13_9345|chr13:74989846-74989903	1.150594383	-4.868827687	1.233985294	0.236089843	0.79476349	-5.247269658
mir28-5p|chr11:81345174-81345217	0.735571671	8.737826966	1.756210172	0.099329946	0.68255937	-5.248736219
mir_chr10_5495|chr10:19383713-19383771	1.199259037	-4.60637988	1.234979169	0.235730153	0.79476349	-5.249150701
mir_chr3_20554|chr3:9275388-9275445	-1.315259947	-4.089756442	-1.207111688	0.24597837	0.806227304	-5.256421108
mir_chr13_9489|chr13:94076528-94076594	-1.100950859	-5.833327369	-1.285900676	0.217867842	0.772431063	-5.2575646
mir_chr9_31652|chr9:770250-770309	1.146728868	-5.396442455	1.225090054	0.239328151	0.798804692	-5.261208605
mir_chr9_31650|chr9:688842-688901	1.146728868	-5.396442455	1.225090054	0.239328151	0.798804692	-5.261208605
mir1247-5p|chr6:143765281-143765322	-1.596166263	2.263820984	-1.573956049	0.136234899	0.743137096	-5.261279709
mir_chrX_33543|chrX:118273405-118273468	-1.114482961	-5.015064336	-1.230940991	0.237194257	0.795849153	-5.265899094
"mir499a-3p,mir499-3p|chr3:157506699-157506740"	1.175139904	-2.568881071	1.294473972	0.214968534	0.772431063	-5.268823968
mir_chr1_446|chr1:79994891-79994954	-1.287888463	-5.796442455	-1.274344555	0.22182477	0.777855348	-5.269618117
mir489-5p|chr4:28564213-28564266	-1.287888463	-5.796442455	-1.274344555	0.22182477	0.777855348	-5.269618117
mir_chr2_17955|chr2:207937405-207937465	-1.137006387	-4.211479954	-1.193506651	0.25110509	0.813916949	-5.270297435
mir_chr16_12267|chr16:47385335-47385386	-1.283733942	-5.798372489	-1.271640005	0.222758978	0.778130677	-5.272800249
mir3064-3p|chr10:94727750-94727783	1.141277013	-4.867671217	1.208689087	0.24538923	0.806227304	-5.275219908
mir_chrX_34110|chrX:112601792-112601853	1.141277013	-4.867671217	1.208689087	0.24538923	0.806227304	-5.275219908
mir_chr5_25957|chr5:163351175-163351237	1.141277013	-4.867671217	1.208689087	0.24538923	0.806227304	-5.275219908
"mir344i-3p,rno-mir-344i-3p,mir344f-3p|chr1:123634943-123634992"	-1.275349011	-5.802271724	-1.266158498	0.224661917	0.779886701	-5.279233355
mir677-3p|chr7:2485758-2485795	0.979603312	-0.718373582	1.41726429	0.176729754	0.764033246	-5.280341679
mir328-5p|chr19:48128968-48129015	1.050441887	-2.300454748	1.298028424	0.213775509	0.772431063	-5.28448396
mir_chr5_25884|chr5:156741047-156741110	1.132550416	-4.877821428	1.198086559	0.249370164	0.813916949	-5.286028383
mir_chr8_31337|chr8:92451424-92451492	1.120317186	-4.816865298	1.194657975	0.250668084	0.813916949	-5.29001621
mir1224-5p|chr11:87064992-87065034	-1.348105629	-3.757983596	-1.170095952	0.260118482	0.818149798	-5.29688626
"mir873b-5p,mir873-5p,mir873a-5p|chr5:57039019-57039057"	-1.202337284	-1.76258603	-1.289068695	0.216792896	0.772431063	-5.298575154
mir19a-3p|chr15:103641227-103641271	-0.811167302	6.607079688	-1.689886776	0.111605297	0.72231855	-5.299730238
mir667-3p|chr6:143031953-143031999	-1.506941822	-4.739510018	-1.192424707	0.251516296	0.813916949	-5.304355044
mir351-3p|chrX:152774553-152774593	-1.198599615	-4.351603522	-1.164952401	0.262131499	0.818149798	-5.305633979
mir_chr7_28317|chr7:37859189-37859260	-1.13359627	-3.699921193	-1.161783239	0.263377696	0.818149798	-5.30618747
"mir3071-3p,mir136-3p|chr6:142878937-142878978"	-0.956957943	1.986148414	-1.535433085	0.145384609	0.750047464	-5.306835384
mir411-3p|chr6:143021062-143021110	-1.200981186	-2.568170895	-1.219569579	0.241355169	0.803466946	-5.309023644
"mir3071-5p,mir136-5p|chr6:142878978-142879019"	-0.862274091	3.234844785	-1.58408288	0.133912442	0.743137096	-5.310573429
mir677-5p|chr7:2485720-2485757	0.970197057	1.722260854	1.531635695	0.146314007	0.750047464	-5.312964015
"mir2964-3p,mir219b-3p,mir219-1-3p,mir219-2-3p,mir219a-2-3p|chr3:13750972-13751022"	-1.221487848	-0.292907572	-1.392854549	0.183854122	0.764033246	-5.315888745
mir_chr3_20839|chr3:57884531-57884589	-1.053194824	-5.86324264	-1.234708473	0.235828077	0.79476349	-5.31714843
mir_chr5_24242|chr5:63397175-63397226	1.155016919	-4.861279269	1.167962485	0.260952016	0.818149798	-5.319507965
mir1843b-3p|chr13:81975859-81975890	1.151387863	-3.60725523	1.184506505	0.254541467	0.816449939	-5.326090932
mir411-5p|chr6:143021014-143021062	-0.881560163	4.312437602	-1.60653738	0.128882902	0.743137096	-5.333667669
"rno-mir-155-5p,mir155-5p|chr11:27810351-27810393"	0.79489307	3.506861722	1.587756705	0.133078274	0.743137096	-5.334268047
"mir1-3p,mir1b-3p,mir1a-1-3p,mir1a-2-3p,mir1-1-3p|chr3:181345847-181345893"	1.362389131	-3.951821218	1.171466836	0.259583957	0.818149798	-5.334989968
mir_chr3_21309|chr3:116715214-116715278	1.121230329	-5.408070951	1.156099416	0.265623996	0.818149798	-5.336027239
mir_chr8_30397|chr8:73392794-73392854	1.261538928	-4.770585851	1.152567988	0.267026952	0.818149798	-5.341436848
mir330-3p|chr1:81358807-81358856	-1.227155403	-1.660663808	-1.259371009	0.227035939	0.782353574	-5.343405977
mir291b-3p|chr1:63524192-63524246	0.922159259	-0.139126299	1.405306227	0.180191119	0.764033246	-5.346031174
"mir19b1-3p,mir19b-3p,mir19b-1-3p,mir19b-2-3p,mir19c-3p|chr15:103641530-103641573"	-0.736862498	9.29656571	-1.690758159	0.111435819	0.72231855	-5.352614617
mir500-5p|chrX:16906445-16906491	0.997346658	-2.186626966	1.239421065	0.23412782	0.79476349	-5.360731015
mir690-3p|chr3:129901338-129901360	-1.079970705	-4.811590875	-1.128506773	0.276735587	0.818149798	-5.362934117
mir690-3p|chrX:71287444-71287466	-1.079970705	-4.811590875	-1.128506773	0.276735587	0.818149798	-5.362934117
mir690-3p|chr3:122361567-122361589	-1.079970705	-4.811590875	-1.128506773	0.276735587	0.818149798	-5.362934117
mir690-3p|chr20:37350228-37350250	-1.079970705	-4.811590875	-1.128506773	0.276735587	0.818149798	-5.362934117
mir690-3p|chr9:76231288-76231310	-1.079970705	-4.811590875	-1.128506773	0.276735587	0.818149798	-5.362934117
mir690-3p|chrX:37045464-37045486	-1.079970705	-4.811590875	-1.128506773	0.276735587	0.818149798	-5.362934117
mir690-3p|chr14:42599994-42600016	-1.079970705	-4.811590875	-1.128506773	0.276735587	0.818149798	-5.362934117
mir690-3p|chr1:24569139-24569161	-1.079970705	-4.811590875	-1.128506773	0.276735587	0.818149798	-5.362934117
mir690-3p|chr10:57639926-57639948	-1.079970705	-4.811590875	-1.128506773	0.276735587	0.818149798	-5.362934117
mir_chr7_28607|chr7:99413800-99413880	1.243606085	-4.787563631	1.119488234	0.280442104	0.822279396	-5.374687638
mir_chr16_18204|chr16:83089341-83089398	-1.06594033	-5.022863162	-1.129602465	0.276287787	0.818149798	-5.375775138
mir_chr18_15058|chr18:70647393-70647459	0.992326237	-4.796442455	1.108810778	0.284878293	0.822279396	-5.377570466
mir_chr18_15056|chr18:70643471-70643537	0.992326237	-4.796442455	1.108810778	0.284878293	0.822279396	-5.377570466
mir503-5p|chrX:152773782-152773817	-1.004987491	-3.022855096	-1.12595084	0.277782293	0.818149798	-5.377986173
mir503-5p|chrX:153211499-153211534	-1.004987491	-3.022855096	-1.12595084	0.277782293	0.818149798	-5.377986173
mir_chr1_1140|chr1:192291168-192291254	1.039358055	-5.439960742	1.110965354	0.283978937	0.822279396	-5.383674132
mir_chr4_33247|chr4:246733994-246734053	1.03769406	-4.91797897	1.102427988	0.287555029	0.823249611	-5.384511114
"mir148a-3p,mir148-3p|chr4:145680954-145681003"	-0.720208856	16.09951984	-1.75074897	0.100294016	0.683822836	-5.390611347
mir_chr19_15943|chr19:70579229-70579291	1.044126087	-4.910653186	1.094923758	0.290725917	0.825558005	-5.392455942
mir_chr19_15945|chr19:70584446-70584508	1.044126087	-4.910653186	1.094923758	0.290725917	0.825558005	-5.392455942
mir32-3p|chr5:78089036-78089076	-0.872792529	0.230566688	-1.373678754	0.189613766	0.764033246	-5.394742722
"mir203b-3p,mir3545-3p,mir203-3p,mir203a-3p|chr6:145714618-145714675"	0.721398136	6.628653218	1.627264961	0.124384498	0.741075866	-5.39767634
mir_chr13_9145|chr13:30376813-30376869	1.132768977	-4.0679599	1.101358701	0.288005276	0.823249611	-5.399981187
mir3593-5p|chr6:86193893-86193938	-1.044079465	-5.016220806	-1.102964051	0.287329504	0.823249611	-5.402143468
mir_chr4_21817|chr4:840216-840271	-0.972375311	-5.913434955	-1.14471159	0.270168247	0.818149798	-5.417176088
mir_chr3_19334|chr3:10343106-10343177	-0.972375311	-5.913434955	-1.14471159	0.270168247	0.818149798	-5.417176088
mir_chr4_21809|chr4:587610-587665	-0.972375311	-5.913434955	-1.14471159	0.270168247	0.818149798	-5.417176088
mir_chr3_19382|chr3:12471176-12471247	-0.972375311	-5.913434955	-1.14471159	0.270168247	0.818149798	-5.417176088
"rno-mir-6315-5p,mir6315-5p|chr1:228369479-228369529"	0.905858898	-0.402671762	1.323520177	0.205373046	0.767890421	-5.424514974
mir_chr2_24723|chr2:237837827-237837893	0.964243551	-3.019638871	1.108383597	0.285056857	0.822279396	-5.433339561
mir_chr10_4993|chr10:86404856-86404918	1.018341156	-4.91797897	1.050009194	0.310246498	0.839599779	-5.43651546
mir212-3p|chr10:61729147-61729202	0.892262884	0.246261314	1.358098714	0.194400496	0.764033246	-5.436753622
"mir217-1-5p,mir217-5p|chr14:112809661-112809714"	1.073159641	-3.458141554	1.083201329	0.295730924	0.828211586	-5.437256299
mir18b-5p|chrX:140167614-140167655	0.880143442	-0.904849111	1.273633521	0.222070076	0.777855348	-5.439323571
mir_chr13_13777|chr13:89472202-89472251	-1.498914215	-3.280316249	-1.046076382	0.312000212	0.839599779	-5.440775312
mir702-3p|chr12:24733629-24733687	-1.536648535	-4.367171149	-1.038576896	0.315364296	0.839599779	-5.44344438
mir_chr10_5270|chr10:108641958-108642017	-1.067544478	-4.623192733	-1.038439633	0.315426113	0.839599779	-5.444412898
mir139-3p|chr1:172779882-172779921	-0.944809202	-1.532698342	-1.183675797	0.254860452	0.816449939	-5.448953077
mir_chr10_5339|chr10:9492021-9492088	0.975541886	-5.466289543	1.042411691	0.313640834	0.839599779	-5.452496773
"rno-mir-6331-5p,mir6331-5p|chr6:143040934-143040995"	-1.002096933	-2.597274306	-1.080586336	0.296856045	0.828211586	-5.455005976
mir667-5p|chr6:143031907-143031953	-0.933320519	-5.937493802	-1.099896946	0.288621628	0.823249611	-5.464696139
"mir138-5p,mir138-1-5p|chr8:130886767-130886816"	0.854522129	1.549373802	1.407675239	0.179501013	0.764033246	-5.466521723
mir674-5p|chr3:115421225-115421275	1.03818942	1.284956753	1.395458305	0.183083171	0.764033246	-5.466542965
"mir218a-5p,mir218a-1-5p,mir218-2-5p,mir218a-2-5p|chr10:20303157-20303212"	-0.746162814	4.184491642	-1.506800505	0.152516461	0.764033246	-5.468167018
mir488-3p|chr13:81112994-81113046	-0.781606382	1.827685929	-1.408250007	0.179333907	0.764033246	-5.468402009
mir296-3p|chr3:178408786-178408825	-0.982755848	-3.941061247	-0.993471351	0.336150923	0.847020607	-5.469026191
mir_chr14_9648|chr14:2071316-2071373	1.02201413	-3.237518668	1.060680219	0.305524251	0.839533232	-5.469607145
mir_chr9_45797|chr9:10055042-10055114	0.966342344	-3.47452219	1.043552899	0.313129264	0.839599779	-5.472434377
mir196b-5p|chr4:146865929-146865971	0.930680524	-2.131960732	1.134912352	0.274125391	0.818149798	-5.478073258
mir196b-5p|chr4:146951724-146951766	0.930680524	-2.131960732	1.134912352	0.274125391	0.818149798	-5.478073258
mir484-5p|chr10:27869-27921	0.943594039	-5.479449955	1.008481506	0.329128004	0.841816987	-5.485686176
mir_chr12_7541|chr12:10190579-10190636	0.943594039	-5.479449955	1.008481506	0.329128004	0.841816987	-5.485686176
mir_chr3_21209|chr3:98496981-98497025	0.943594039	-5.479449955	1.008481506	0.329128004	0.841816987	-5.485686176
mir_chr2_15971|chr2:8620024-8620080	0.943594039	-5.479449955	1.008481506	0.329128004	0.841816987	-5.485686176
mir_chr2_17184|chr2:262933750-262933806	0.943594039	-5.479449955	1.008481506	0.329128004	0.841816987	-5.485686176
mir_chr2_17313|chr2:41939942-41940016	0.943594039	-5.479449955	1.008481506	0.329128004	0.841816987	-5.485686176
mir_chr1_1829|chr1:267973532-267973584	0.943594039	-5.479449955	1.008481506	0.329128004	0.841816987	-5.485686176
mir_chr16_12157|chr16:19859430-19859488	0.943594039	-5.479449955	1.008481506	0.329128004	0.841816987	-5.485686176
mir_chr16_12185|chr16:20690867-20690952	0.943594039	-5.479449955	1.008481506	0.329128004	0.841816987	-5.485686176
mir_chr8_30206|chr8:49187026-49187082	0.794315806	1.04822985	1.36492095	0.192292569	0.764033246	-5.486980002
mir_chrX_33866|chrX:29946015-29946073	0.938712069	-5.481379989	1.003532348	0.331431948	0.841816987	-5.490458653
mir_chr3_20477|chr3:179800414-179800471	0.938712069	-5.481379989	1.003532348	0.331431948	0.841816987	-5.490458653
mir_chr6_26500|chr6:61892541-61892594	0.93891165	-5.481379989	1.003504797	0.331444806	0.841816987	-5.490484435
mir342-5p|chr6:141731244-141731293	0.815680132	-0.051610257	1.293605872	0.215260707	0.772431063	-5.491028972
mir_chr20_18749|chr20:31644571-31644629	-1.019931593	-4.28399397	-0.963643426	0.350420308	0.864189347	-5.497874257
mir_chr7_28835|chr7:137322591-137322654	1.094453997	-4.845464954	0.989266831	0.338137049	0.85034465	-5.498124387
mir_chr5_23999|chr5:13684284-13684330	0.978906834	-4.698071836	0.983519467	0.340865392	0.850653259	-5.499121021
mir141-3p|chr4:224253941-224253988	-0.803003876	7.320346951	-1.562566281	0.138887817	0.743137096	-5.500954849
mir540-5p|chr6:142868378-142868420	-0.949547129	-3.957983892	-0.957068671	0.353621801	0.867053454	-5.501988194
mir_chr1_2479|chr1:249647111-249647163	-0.889234037	-5.162457455	-1.004544498	0.330959838	0.841816987	-5.504122255
mir_chr11_7416|chr11:87007563-87007618	-0.889234037	-5.162457455	-1.004544498	0.330959838	0.841816987	-5.504122255
mir543-3p|chr6:143028870-143028910	-0.889234037	-5.162457455	-1.004544498	0.330959838	0.841816987	-5.504122255
"mir195-3p,mir195a-3p|chr10:56589505-56589552"	0.734807239	3.823643919	1.475148497	0.160739269	0.764033246	-5.505690465
mir_chr10_5814|chr10:55931044-55931099	-1.036616943	-4.640170512	-0.967336737	0.348630806	0.863115103	-5.510916534
"mir19b1-5p,mir19b-5p,mir19b-1-5p,mir19b-2-5p,mir19c-5p|chr15:103641486-103641529"	-0.864381185	-1.138348785	-1.158611624	0.264629361	0.818149798	-5.519178548
mir_chr15_11130|chr15:50100891-50100953	0.925240032	-4.720278098	0.959160245	0.352601132	0.86638668	-5.519864051
mir3586-3p|chr7:114421166-114421226	0.672715489	10.52399921	1.596760675	0.131052574	0.743137096	-5.520230611
mir_chr7_29592|chr7:117109316-117109373	0.925819854	-2.412543307	1.064282513	0.303942042	0.837767527	-5.525774125
"mir344b-1-3p,mir344e-3p|chr1:122322861-122322910"	-1.193712075	-4.20098647	-0.926140125	0.368954667	0.875982989	-5.531043682
mir449c-5p|chr2:63933613-63933667	0.887144285	-3.909100146	0.959018284	0.352670343	0.86638668	-5.532292912
"mir3563-5p,mir299a-5p,mir299b-5p,mir299-5p|chr6:143021524-143021583"	-0.974005057	-3.059386146	-0.965133267	0.349697671	0.864078548	-5.532376209
"mir29b-1-3p,mir3587-3p,mir29b1-3p,mir29b-3p|chr4:58100025-58100079"	-0.86988344	-1.788610566	-1.073580455	0.299885914	0.8326079	-5.542858125
mir_chr2_18193|chr2:230230301-230230357	-0.92954739	-1.794867395	-1.06881483	0.301959876	0.835138484	-5.54569345
"mir128-1-5p,mir128-5p|chr13:50001705-50001748"	0.918986185	-0.855705423	1.180344712	0.256142635	0.818149798	-5.549748797
mir_chr20_18631|chr20:13159532-13159597	-0.915220348	-4.526107367	-0.908653332	0.377822735	0.892081458	-5.552380332
