featureAndLoc	BNLX1_MaleLiver	BNLX2_MaleLiver	BNLX3_MaleLiver	SHRH1_MaleLiver	SHRH5_MaleLiver
mir_chr16_12854|chr16:76431472-76431524	0	0	0	0	0
mir_chr3_19382|chr3:12471176-12471247	0	0.5	0	0	0
mir181b-5p,mir181b-1-5p,mir181b1-5p|chr13:59986235-59986292	0	0	0	0	0
mir_chr3_20410|chr3:170374937-170375002	0	0	4	5.05	3.3
mir147-5p|chr3:121313446-121313487	0	2	1	4	8
mir361-3p|chrX:84652349-84652386	193.17	1188.26	521	1780	646
mir322-5p|chrX:152773467-152773514	4135.75	10764.45	16676.04	6854.48	9152.7
mir129-3p,mir129-1-3p,mir129-2-3p|chr4:56049129-56049171	0	17.92	1	1.97	0
mir_chr13_9453|chr13:91280692-91280754	1	2	0	7.99	5.86
mirlet7a-1-3p,mirlet7c-1-3p,mirlet7c-2-3p,mirlet7c-3p|chr11:19708191-19708245	6	60	16	47	51
mir_chr14_14246|chr14:15193191-15193241	0	0	0	1.01	0
mir448-5p|chrX:118420169-118420225	0	0	0	0	0
mir6540-3p|chr11:62814533-62814586	0	2	0	1	0
mirlet7f-3p,mirlet7f-2-3p,mirlet7g-2-3p,mirlet7g-3p,mirlet7a-3-3p|chrX:21868505-21868551	383.34	1654.99	1931.87	1264.33	1410.6
mir_chr1_821|chr1:142008319-142008394	0	1	0	5.99	4
mir653-5p|chr4:28563568-28563616	3.98	19	26	5	11
mir_chr7_29707|chr7:121044123-121044188	1	0	0	0	1
mir_chr18_14870|chr18:31030164-31030224	0	0	0	0	0
mir342-5p|chr6:141731244-141731293	8	35.97	35	62.99	59
mir_chr7_29661|chr7:119139764-119139826	0	0	0	0	0
mir_chr16_12547|chr16:9085944-9086001	1	2	5	4	10.09
mir141-5p|chr4:224253988-224254035	11	11.98	25.99	30.35	52.97
mir3586-5p|chr7:114421106-114421166	1687.07	27579.82	5613.56	23071.38	4075.99
mir690-3p|chr1:235853452-235853475	0	0	0.73	1.07	0.25
mir_chr13_9547|chr13:98000137-98000218	0	0	0	0	0
mir_chr12_12094|chr12:54394801-54394863	0	0.97	0.5	0	0
mir_chr16_12603|chr16:20116110-20116182	0	0	0	0	0
rno-mir-6317-5p|chr1:267108728-267108791	0.5	1.26	0	0	1
mir_chr1_531|chr1:88112952-88113017	0	0	0	1	0
mir_chr17_12970|chr17:9247470-9247532	0	0	0	0	0
mir350-5p|chr13:99302920-99302969	10.5	66	33	116.5	34
mir135b-3p|chr13:54046578-54046626	0	2.68	0	0	0
mir369-3p,mir3578-3p|chr6:143056028-143056086	4	48	13	29	6
mir29b-1-3p,mir3587-3p,mir29b1-3p,mir29b-3p|chr4:58100025-58100079	2.61	14.46	24.87	10.91	7
mir_chr10_4381|chr10:38029148-38029208	0	0	0	1	0
mir182-5p|chr4:57221573-57221635	8054.82	27454.19	21807.67	31541.68	24040.65
mir_chr7_41353|chr7:123043259-123043327	0	0	2	0	0
mir_chr7_29297|chr7:66354749-66354805	0	2	2	2	1
mir301b-3p|chr11:91182009-91182056	8.63	26.12	22.71	38.66	28.08
mir3548-5p,mir200a-5p|chr5:176963434-176963494	148.93	388.99	382.7	320.95	175.08
mir598-5p|chr15:50653534-50653574	0	0	0	0	0
mir542-5p|chrX:152784188-152784230	20.67	72.32	71	65.33	49.68
mir302a-3p|chr2:251220841-251220875	5	13	20	24.81	9
mir_chr7_28607|chr7:99413800-99413880	1	0	0	5	1
mir125b-3-5p,mir125b-5p,mir3588-5p,mir125b-2-5p|chr11:19752323-19752376	2455.92	5519.75	6146.18	16435.33	7718.02
mir222-5p|chrX:4474733-4474784	7	5.98	6.55	9	9
mir_chr6_26515|chr6:66666986-66667042	4	4	11	8	13
mir879-3p|chr4:21605816-21605854	0	11.21	4	10.8	2.44
mir_chr9_32125|chr9:69314307-69314370	3	3	1	0	0
mir362-3p|chrX:16902329-16902368	223.76	620.7	975.53	516.99	890.54
mir_chr9_32014|chr9:53246975-53247030	1	0	1	3	0
mir1843b-3p|chr13:81975859-81975890	0	7.03	0.97	9.02	3.01
mir_chr5_25037|chr5:176783130-176783188	0	2	2	3	1
mir_chr13_9460|chr13:93136595-93136652	1	1	2	3	2
mir_chr13_9355|chr13:76470401-76470444	1.36	4.96	4.17	118.48	41.23
mir_chr4_21803|chr4:100511-100574	0.33	0	0	1.33	1
mir_chr1_1513|chr1:228695731-228695783	0	0	0	2	0
mir542-3p|chrX:153215211-153215253	398.65	738.66	1262.94	621.58	1042.18
mir3552-5p|chrX:118262790-118262842	0	0	0	0	0
mir143-1-3p,mir143-3p,mir143-2-3p|chr18:56200185-56200237	922260.11	851504.27	1690654.98	1364798.16	1773862.32
mir_chr2_24746|chr2:239708674-239708733	0	0	0	0	0
mir_chr18_14729|chr18:11557072-11557160	1	6	5	8	3
mir195-3p,mir195a-3p|chr10:56589505-56589552	148.19	678.85	379.6	1170.01	629
mir338-3p,mir3065-3p|chr10:108793392-108793443	1154.13	3966.12	4700.6	3017.75	4007.02
mir344i-5p,rno-mir-344i-5p,mir344f-5p|chr1:123634993-123635042	0	1	0	0	0
mir190a-5p,mir190-5p|chr8:80550800-80550849	235.89	699.13	614.63	549.8	991.21
mir_chr3_21182|chr3:88931430-88931491	0.5	1	0.5	3.99	1
mir_chr1_2479|chr1:249647111-249647163	0	1	1	1	0
mir764-3p|chrX:118264721-118264775	1	9	1	1	0
mir_chr4_22970|chr4:8972615-8972673	0	0	0	0	0
rno-mir-466b-1-3p|chr17:73503748-73503791	2.72	22.75	5.13	23.12	3.13
mir_chr6_28043|chr6:152249816-152249872	0	297.37	6.32	855.18	252.93
mir_chr10_6241|chr10:88638600-88638662	19.94	49.65	105.99	61	59
mir448-3p|chrX:118420225-118420281	4.98	13.97	2.97	7.83	3.82
mir_chr4_22417|chr4:188956739-188956801	0	0	0	0	0
mir146b-5p|chr1:273520416-273520469	3224.03	2484.54	7154.74	6539.49	9296.17
mir_chr14_15275|chr14:2426985-2427048	4	9.95	9.66	2.47	0.29
mir690-3p|chr3:122361567-122361589	0.46	1.25	1.17	0.07	1.28
mir6318-5p,rno-mir-6318-5p|chr19:48128401-48128455	2	15.4	6	18	10
mir532-3p|chrX:16895031-16895079	32	276	40	541.99	70
mir125b-5p,mir125c-5p,mir125b1-5p,mir125b-1-5p,mir125b-2-5p|chr8:44272845-44272888	3623.27	28502.72	11289.29	19777.17	9424.47
mir140-3p|chr19:50471302-50471351	4040.13	10360.03	7855.12	25393.39	10134.49
mir668-5p|chr6:143047472-143047525	0	0	0	0	0
mir194-1-5p,mir194a-5p|chr13:107924393-107924434	12051.18	27431.23	50676.3	45562.64	26089.93
mir199a-1-3p,mir199a-3p,mir199a-2-3p,mir199b-3p,mir199-3a-3p,mir199a-4-3p,mir199-1-3p,mir199-2-3p,mir199a2-3p,mir199-3-3p|chr13:85019451-85019506	511.23	1193.6	1615.35	1886	1653.91
mir_chr1_3360|chr1:206246086-206246130	0	0	1	3	4.98
mir653-3p|chr4:28563519-28563567	0	0	0	1	0
mir_chr6_27674|chr6:106004363-106004422	0	0	1.96	0.91	1
mir_chr12_8389|chr12:42581237-42581312	0	0	0	0	0
mir_chr6_27574|chr6:89654184-89654249	0.99	1	4	2	5
mir743b-5p|chrX:151248596-151248634	1	1	7	0	0
mir690-3p|chr4:188444672-188444695	0	0	0.73	1.07	0.25
mir_chr3_19682|chr3:69977663-69977724	0	0	0	0	0
mir_chr3_20116|chr3:130337653-130337704	0	0	0	2	1
mir146a-3p,mir146-3p|chr10:28806738-28806785	23.99	29.99	58	42.95	66.56
mir21-5p,mir21a-5p|chr10:76197080-76197126	1115406.76	2278254.17	3387577.49	3854339.95	4437183.02
mir_chrX_33458|chrX:105518857-105518919	0	0	0	0	0
mir351-3p|chrX:152774553-152774593	0	4	3	3.06	0
mir212-5p|chr10:61729091-61729146	6	34	10	45	3
mir500-3p|chrX:16906491-16906537	66.99	328.78	179.98	480.05	245.97
mir665-3p|chr6:142868680-142868727	2	6	1	4	1
mir_chr3_19954|chr3:117958329-117958392	5	2	3	2	17.95
mir187-5p|chr18:16149655-16149707	2	2	3	13.95	3
mir_chr17_13001|chr17:12173240-12173297	0	1	0	0	0
mir_chr8_31422|chr8:107056721-107056785	0	0	2	1	0
mir193b-3p,mir193-3p|chr14:30144277-30144316	193.9	1812.4	323.25	798.7	259.3
mir214a-3p,mir3120-3p,mir214-3p|chr13:85024814-85024874	81	277.18	201.99	311.98	365
mir871-3p|chrX:151282688-151282726	0	0	2	0	1
mir135b-5p|chr13:54046529-54046577	1.01	6.03	1.03	2.11	4.08
mir_chr4_22926|chr4:2761735-2761794	0	0	0	1	0
mir154-3p|chr6:143050984-143051026	0	0	0	0	0
mir664-2-5p,mir664-5p|chr13:107866595-107866634	28.99	234.81	85.93	120.76	48.85
mir489-5p|chr4:28564213-28564266	1	0	0	0	0
mirlet7i-3p|chr7:67000281-67000326	29	130.78	76.99	127	144
mirlet7a1-5p,mirlet7f-5p,mirlet7g-2-5p,mirlet7g-5p,mirlet7a-1-5p,mirlet7a-2-5p,mirlet7a-5p,mirlet7a-3-5p,mirlet7e-1-5p|chr17:18473965-18474016	158811.01	186650.54	330370.25	297617.25	130424.95
mir_chr1_3453|chr1:222810401-222810463	0.67	1	1.34	4	0.33
mir_chr16_12608|chr16:20150525-20150588	0	5.99	1	14	10.77
mir_chr6_27297|chr6:35238938-35238995	0	0	0	0	0
mir_chr8_31406|chr8:103988494-103988553	0	1	0	0	0
mir_chr10_5927|chr10:62356684-62356748	0	3	5	10	13
mir208b-3p|chr15:37526108-37526164	0	0	0	1	0
mir_chr5_25761|chr5:143903374-143903444	2	12.95	13.98	37	47
mir_chr10_4595|chr10:56002373-56002451	0.94	1	0	0	0
mir370-5p|chr6:142902085-142902124	0	0	0	1	0
mir_chr5_25563|chr5:119156455-119156526	0	0	0	2	2
mir433-3p|chr6:142874569-142874631	1	22.8	1.9	4	0
mir483-5p|chr1:222726943-222726979	0	2	0	2	0
mir434-3p,mir3543-3p|chr6:142878391-142878449	25.5	67.5	34.01	80.5	37.5
mir1843b-5p|chr13:81975827-81975858	34.02	146.59	181.84	172.65	178.07
mir652-3p|chrX:112450491-112450531	125.23	735.96	347.19	2010.93	262.88
mir_chr2_17221|chr2:276283300-276283355	1	1	3	2	2
mir_chr8_31010|chr8:47269444-47269502	0	1	0	0.99	0
mir92-1-5p,mir92a1-5p,mir92a-5p|chr15:103641608-103641647	275	1455	1116.39	1625	899
mir690-3p|chr14:46116149-46116172	0	0	0.73	1.07	0.25
mir_chr2_17967|chr2:208883095-208883144	1	1	7.98	5	3.08
mir23a-3-3p,mir23b-3p|chr17:816087-816139	7245.64	29411.77	17088.11	49963.79	12288.18
mir3473-3p,rno-mir-3473-3p|chr13:49803977-49804010	159	435.87	577.47	520.36	736.45
mir494-5p|chr6:143026539-143026581	0	0	0	0	0
mir_chr2_16950|chr2:223945511-223945569	0	0	0	0	0
mir434-5p,mir3543-5p|chr6:142877579-142877637	77	745.98	79	523.39	79.5
mir3568-3p|chr10:9621963-9622013	1	0.88	1	0	0
mir_chr7_29144|chr7:31911248-31911308	0	0	2	2	1
mir27b-3p,mir27d-3p|chr17:816322-816370	481248.42	742086.85	1536099.04	1073154.22	1087821.92
mir_chr6_27331|chr6:37244482-37244539	0	3	0	1	3
mir9a-1-3p,mir9b-1-3p,mir9a-2-3p,mir3597-2-3p,mir9a-5-3p,mir9-1-3p,mir9-2-3p,mir9-3p,mir9-3-3p,mir9-4-3p,mir9-5-3p,mir9-6-3p,mir9a-3p|chr2:11746808-11746867	0	0	0	0	0
rno-mir-6329-3p,mir6329-3p|chr8:55210028-55210073	49	116.98	130.99	166.99	263.57
mir26b-3p|chr9:81439866-81439908	257.53	750.86	663.22	1274.86	726.99
mir_chr10_5430|chr10:14747252-14747312	0	0	0	0	0
mir351-5p|chrX:153212229-153212275	452.96	2577.49	1339.61	2414.9	1186.04
mir_chr16_12044|chr16:4410879-4410937	0	12.85	2.14	0.14	6.19
mir_chr2_16307|chr2:96516164-96516224	58.9	181.99	181.97	0	1
rno-mir-6314-3p,mir6314-3p|chr2:231156876-231156945	0	0	0	0	0
mir_chr5_25916|chr5:158074021-158074075	0.31	0	0	0	0
mir3546-5p,mir208a-5p|chr15:37500091-37500149	0	0	0	0	0
mir501-5p,mir3560-5p|chrX:16903042-16903098	1.56	27	6	41.01	9
mir_chr18_14714|chr18:4100231-4100298	1	8	5	6.07	3
mir_chr12_8033|chr12:4687554-4687627	0	0	0	0	0
mir_chr4_22541|chr4:215899603-215899680	0	3	2	4	2
mir3093-3p|chr2:206985428-206985471	0	0	0	0	0
mir_chr17_14079|chr17:73471850-73471911	1090.79	1358.14	2873.86	2407.24	5339.34
mir_chr17_14008|chr17:64770780-64770869	0	0	0	0.94	0
mir449c-5p|chr2:63933613-63933667	1	1	1	5	3
mir_chr4_23588|chr4:208675558-208675617	0.91	15.48	0.99	6.4	1.96
mir_chr11_10874|chr11:86993588-86993674	7	51	23	23.04	16
mir3550-3p|chr19:37017050-37017107	0	0	0	0	0
mir_chr6_26500|chr6:61892541-61892594	0	0	0	0.99	1
mir690-3p|chrX:109001853-109001874	0	1.12	0.32	0.1	8.61
mir490-5p|chr4:63056489-63056531	0	0	0	0.05	0
mir_chr2_17449|chr2:62398200-62398267	0	0	0	1.49	4.59
mir_chr14_10750|chr14:91820164-91820228	0	2	0	1	2
mir_chr3_20647|chr3:15718445-15718528	14	24	33	41.05	37.99
mir6328-5p,rno-mir-6328-5p|chr20:5491915-5491963	0	5	2	2	1
mir741-3p|chrX:151269257-151269305	3	6	4	0	0
mir340-3p,rno-mir-340-3p|chr10:35327234-35327283	155.49	336.34	543	527.5	552.52
mir_chr11_6990|chr11:28166973-28167059	0	0	0	1	2
mir33b-3p,mir33-3p|chr7:123415338-123415377	140.16	515.64	341.77	403.25	419.9
mir1188-5p|chr6:142895738-142895795	0	0	0	0	0
mir_chr1_967|chr1:160166573-160166633	0.97	1.9	0	0.4	1.01
mir181a-3p,mir181a-1-3p,mir181a-2-3p,mir3570-3p|chr13:59986055-59986114	40694.59	112484.52	83046.48	195815.02	72644.12
mir_chr2_25031|chr2:275603119-275603171	0	0	0	17.89	0.13
mir29b-1-3p,mir29b-2-3p,mir29b-3p,mir29b2-3p|chr1:39612429-39612471	313.48	1193.26	1057.59	842.09	1553.47
mir_chr10_6167|chr10:82870029-82870089	0	0	0	3	0
mir23a-3p|chr19:36294807-36294844	3357.12	10809.58	6757.57	12888.27	6798.5
mir_chr15_11976|chr15:100249036-100249095	0	0	0	0	0
mir361-5p|chrX:84652386-84652423	955.57	3092.73	2868.36	4709.94	1893.9
mir_chr8_45388|chr8:111140905-111140975	0	1.99	0	1	1.04
rno-mir-466b-2-5p|chr17:73751818-73751859	35.01	108.7	127.03	215.92	282.2
mir_chr11_7416|chr11:87007563-87007618	0	1	1	1	0
mir_chr2_17451|chr2:63005231-63005298	0	0	0	1.49	4.59
mir344-1-3p,mir344a-2-3p,mir344-2-3p,mir344c-3p,mir344-3p|chr1:123505478-123505532	0.98	6.5	1.5	8.92	4.5
mir7a-2-5p,mir7-1-5p,mir7-2-5p,mir7-5p,mir7b-5p,mir7a-1-5p|chr17:8879383-8879437	54.07	376.97	164.7	125	254.69
mir10d-3p,mir10b-1-3p,mir10b-3p,mir10b-2-3p|chr3:68113716-68113770	15	18.95	16	1.98	6
mir_chr20_18749|chr20:31644571-31644629	0	3	4	4	0
mir181c-5p|chr19:36267363-36267416	3999.56	10518.98	9481	11874.73	8766.32
mir_chr14_10060|chr14:71080992-71081049	0	0	0	0	0
mir_chr1_1003|chr1:138035249-138035313	154.68	207	374	577.97	377.97
mir_chr8_30516|chr8:97072812-97072870	3	1.31	0	1	3
mir_chr1_3629|chr1:228368784-228368844	0	0	0	0	0
mir_chr3_29761|chr3:180669423-180669478	0	3	1.91	2	1.99
mir_chr20_18549|chr20:7601823-7601876	0	0	0	0	0
mir_chr14_10141|chr14:84033737-84033804	0	4	4.99	3	2
mir551b-3p|chr2:136556559-136556608	1	17	0	13	1
rno-mir-341-5p|chr6:142895409-142895457	0	0	0	0	0
mir144-5p|chr10:66340676-66340719	526	1245	2109.99	1207	2572
mir325-3p|chrX:77141008-77141057	3.11	25	1	3.99	1
mir3068-5p,rno-mir-3068-5p|chr6:120749484-120749523	48	126	134	153	69
mir124-3-5p,mir124-4-5p,mir124a-3-5p,mir124-6-5p|chr3:180116125-180116168	0	0	0	0.01	0
mir153a-3p,mir153-3p,mir153-1-3p,mir153-2-3p|chr6:154028775-154028818	81.99	320.97	265.99	81.99	136.99
mir_chr11_6691|chr11:50445164-50445231	1.92	1	5	14.99	8.99
rno-mir-466b-1-5p|chr17:73503791-73503834	12.38	14.21	17.11	16.76	40.9
mir30d-5p,mir30e-5p,mir30a-5p|chr9:28377812-28377856	691400.01	1495734.58	2126275.91	1314528.87	1678724.97
mir539-5p,mir3576-5p|chr6:143040226-143040283	0	9.98	1	3	1
mir130b-3p|chr11:91182360-91182401	72.13	235.99	264.4	661.48	393.47
mir7093-3p|chrX:105464306-105464355	0	0.99	1	0.99	2
mir345-3p|chr6:141919091-141919139	277.57	588.61	601.81	818.24	531.55
mir190a-3p,mir190-3p|chr8:80550849-80550898	19.5	41.5	43	37.02	72
mir199a-1-5p,mir199a-5p,mir199a-2-5p,mir199b-5p,mir199-3a-5p,mir199a-4-5p,mir199-1-5p,mir199-2-5p,mir199a2-5p,mir199-3-5p|chr13:85019396-85019451	1549.46	3952.77	4934.02	4642.59	5337.09
mir_chr1_2171|chr1:41067324-41067404	0.7	13.4	1.04	67.79	16.96
mir873b-5p,mir873-5p,mir873a-5p|chr5:57039019-57039057	6.98	25.99	9	22.99	2
mir_chr9_32384|chr9:119464959-119465020	0	0	0	3	1
mir188-3p|chrX:16895434-16895474	10	13	21	20	12
mir494-3p|chr6:143026582-143026624	0	1	0	0	0
mir139-3p|chr1:172779882-172779921	5.74	25.15	14	19.78	4.71
mir24a-3-5p,mir24-1-5p,mir24a-5p,mir24b-5p,mir24-3-5p,mir3074-1-5p,mir3074-5p,mir24a-1-5p|chr17:816811-816869	9.06	38.82	66.87	39.24	8.92
mir29b-1-5p,mir29b-2-5p,mir29b-5p,mir29b2-5p|chr1:39612387-39612429	4	7.51	4.5	4.5	5
mir503-3p|chrX:153211535-153211570	10.46	65.5	27.56	32.48	20.99
mir_chr9_33081|chr9:115657136-115657196	0	0	0	2	1
mir_chr6_26261|chr6:39789057-39789140	0	0.98	0	0.42	0
mir295-2-3p,mir295-3p,mir295-1-3p|chr1:66933908-66933948	1	5.5	2.5	4.5	3
mir690-3p|chr19:60383687-60383710	0	0	0.73	1.07	0.25
mir_chr16_18204|chr16:83089341-83089398	0	1	2	0	0.96
mir_chr19_22860|chr19:37116772-37116839	0	0	0.99	0	1.95
mir485-5p|chr6:143047655-143047694	2	24	2	2.88	0
mir96-5p|chr4:57225219-57225272	214.88	205	418	317	557.96
mir_chr11_7423|chr11:87089714-87089774	0	0	1	0.21	1
mir148a-5p,mir148-5p|chr4:145681003-145681052	48036.24	43705.31	93456.35	121148.03	107519.97
mir708-5p|chr1:167436242-167436286	5.09	25.97	19	20.99	18.97
mir1251-5p|chr7:33062843-33062885	0	1	0	0.69	0
mir652-5p|chrX:112450450-112450490	0	10	4.95	5	9
mir_chr5_25956|chr5:162739398-162739463	0	0	0	0	2
mir496a-3p,mir496-3p|chr6:143051673-143051718	2	16	2	2	0.99
mir30e-5p,mir30f-5p,mir30e-2-5p,mir30a-5p|chr5:143497797-143497843	218768.45	694918.66	879988.34	433450.56	802755.71
mir_chr9_31810|chr9:15797510-15797568	0	1	0	0	0
mir_chr11_7209|chr11:74657499-74657561	0	0	0	1	0
mir210-3p,mir3574-3p|chr1:221125887-221125946	1372.96	2913.37	2934.08	4102.4	3350.04
mir141-3p|chr4:224253941-224253988	3431.22	5356.72	10858.91	3793.72	6843.76
mir1247-5p|chr6:143765281-143765322	46.99	2181.54	92.93	101.99	127.51
mir_chr1_3475|chr1:224638615-224638673	0	0	0	3.67	0
mir_chr1_1505|chr1:228609286-228609333	2	3	3	8	5
mir_chr14_9648|chr14:2071316-2071373	0	7	3	14	3
mir19b1-3p,mir19b-3p,mir19b-1-3p,mir19b-2-3p,mir19c-3p|chr15:103641530-103641573	10773.81	30171.05	35253.89	17504.06	24369.79
mir365-5p,mir365-2-5p,mir365-3-5p|chr10:64570114-64570169	39.99	67.96	92	175.53	79.06
mir_chr4_22333|chr4:178572471-178572544	0	0	1	0	0
mir92-1-3p,mir92a1-3p,mir92a-3p|chr15:103641647-103641686	66367.96	477211.62	177335.92	202674.8	153038.93
mir489-3p|chr4:28564160-28564213	8	28.96	8	4.96	5
mir_chr12_7637|chr12:16049308-16049368	0	0	0	0	0
mir503-3p|chrX:152773818-152773853	10.46	65.5	27.56	32.48	20.99
mir_chr19_15791|chr19:48982094-48982162	0	5.99	7.99	12.98	5
mir_chr15_11174|chr15:55659270-55659323	0.99	0	0.98	2	0
mir_chr3_20913|chr3:70073604-70073668	20.44	42.92	86.76	60.06	78.71
mir582-5p|chr2:59928606-59928646	25	189	86	64	97.75
mir690-3p|chr20:37350228-37350250	0.46	1.25	1.17	0.07	1.28
mir_chr12_8260|chr12:23998093-23998150	1	3.51	4.5	6.5	6.51
mir3555-5p,mir191-5p|chr8:116698910-116698970	297.93	730.74	969.47	924.53	763.97
rno-mir-6325-3p|chr11:40257571-40257641	1.95	1.99	1.94	2	3.98
mir_chr4_23896|chr4:235288229-235288305	0	1.5	1.81	5.97	0.86
mir_chr15_11428|chr15:22449647-22449705	0	2	1	1	3.94
mir_chrX_34150|chrX:115421216-115421274	0	0	0	0	0
rno-mir-6215-3p,mir6215-3p|chr5:161800078-161800111	0.87	0	0.89	26.09	7.94
mir_chr3_28374|chr3:13604985-13605046	0	0	1	1	2
mir127-3p|chr6:142875655-142875703	1155.71	10710.82	1721.19	7369.34	610.43
mir_chr18_14275|chr18:22754683-22754745	0	0	0	2	1
mir203b-3p,mir3545-3p,mir203-3p,mir203a-3p|chr6:145714618-145714675	1275.98	2637.93	3974.26	7160.54	4919.41
rno-mir-466b-2-3p|chr17:73751777-73751818	2.62	9.77	7.56	10.43	6.92
mir3071-5p,mir136-5p|chr6:142878978-142879019	150	761	365.98	257.32	339
mir455-3p,mir455b-3p|chr5:83211494-83211538	6.99	390.61	7.99	29.96	18.19
mir_chr12_11058|chr12:13476476-13476536	2	2.5	2	1.5	3.04
mir690-3p|chr6:41897924-41897947	0	0	0.73	1.07	0.25
mir_chr8_31045|chr8:48856198-48856254	0	10	1	4	3
mir_chr17_14100|chr17:73495065-73495122	4.93	84.99	6.73	43.49	10.44
mir_chr10_5339|chr10:9492021-9492088	0	0	0	1.07	1
mir_chr2_17026|chr2:230609309-230609373	1	4	4	6.95	2
rno-mir-466b-1-3p|chr17:73754807-73754850	2.72	22.75	5.13	23.12	3.13
mir9a-1-3p,mir3597-1-3p,mir9a-4-3p,mir9-1-3p,mir9-2-3p,mir9-3p,mir9-3-3p|chr2:206985806-206985860	830.98	6936.88	1679.44	2369.32	585.72
mir_chr16_12419|chr16:81024166-81024218	0	1	4.52	8.93	5.85
mir_chr3_20242|chr3:154581272-154581337	1	0	0	0	2
mir_chr3_21689|chr3:165500172-165500237	1	2	4.98	0	0
mir301-5p,mir301a-1-5p,mir301-1-5p,mir301a-5p|chr10:75682867-75682917	10	12	16	33	49
mir27a-3p|chr19:36294967-36295010	11302.49	25346.78	35530.27	25929.25	33501.35
mir881-3p|chrX:151278811-151278849	4	3	11.99	0	0.85
mir_chr11_6631|chr11:36551339-36551398	0	2	0	0	0
mir194-1-3p,mir194-2-3p|chr1:228619929-228619971	198.71	659.69	461.53	492.15	350.12
mir_chr4_33247|chr4:246733994-246734053	0	1	0	3	1
mir99b-3p|chr1:60623908-60623943	44.99	148.96	91.96	196.36	64.79
mir_chr13_9345|chr13:74989846-74989903	0	1	0	1.99	2
mir872-3p|chr5:117604967-117605007	817.23	2569.6	1456.5	6928.76	4303.33
mir201-5p|chr1:151058607-151058647	110.98	197.99	282	195	465
mir3102-3p,rno-mir-3102-3p|chr1:172118680-172118748	2	62.11	1	10	9.11
mir_chr3_19934|chr3:117416449-117416517	1	0	2	2	2
mir_chr18_14297|chr18:24776644-24776703	0	0	2.04	2.95	0
mir690-3p|chr2:268717639-268717662	0	0	0.73	1.07	0.25
mir344d-3-5p|chr1:122332615-122332654	0	0	0	0	0
mir_chr10_6669|chr10:9528630-9528677	3	4	0	1	4.01
mir30c-1-5p|chr5:143494801-143494845	0.22	20.9	3.54	0.47	28.99
mir328-3p|chr19:48128920-48128967	104.1	1413.7	286.21	447.03	386.7
mir7578-3p|chr3:11361083-11361124	0	1	3.98	2	1
mir1224-5p|chr11:87064992-87065034	1.99	8	1	6.41	0
mir3542-3p|chr17:11527661-11527719	0.5	0.5	0	1.04	0
mir692-1-3p,mir692-2-3p,mir692-3-3p|chr2:82132330-82132377	0.17	2.27	3.5	1.67	1
mir_chr5_24352|chr5:81296596-81296659	0	1	1	4	1
mir_chr3_19540|chr3:33466289-33466357	0	0	3.08	2.32	0
mir2964-5p,mir219b-5p,mir219-1-5p,mir219-2-5p,mir219a-2-5p|chr3:13751022-13751072	9.12	21.27	14.14	32.96	8.28
mir369-5p,mir3578-5p|chr6:143056087-143056145	14.96	58.07	29	25.95	17
mir_chr1_1687|chr1:246706940-246706997	0	0	0	8	4
mir_chr12_12018|chr12:45979098-45979159	0	0	2	0	0
mir_chr17_13514|chr17:77777779-77777850	0	1	3.81	8.99	8.97
mir106b-3p|chr12:21365381-21365422	62.8	317.15	175.05	736.21	188.43
mir_chr12_8423|chr12:46729483-46729546	0	0	0	68	634.8
mir22-3p|chr10:62013689-62013736	2366669.82	6434289.75	8596688.79	8636717.07	7276983.2
mir770-3p|chr6:142845087-142845134	0	8	1	0.99	0
mir_chr1_2487|chr1:85513761-85513821	0	0	1	0	0
mir_chr9_32405|chr9:9258029-9258110	0	0	0	0	0
mir_chr5_25777|chr5:144892046-144892106	0	2	0	1	0
mir582-3p|chr2:59928647-59928687	139.02	110.41	121.78	583.73	555.17
mir23a-3-5p,mir23b-5p|chr17:816034-816086	0	4	1	1	0
mir_chr17_14118|chr17:73746127-73746184	4.93	84.99	6.73	43.49	10.44
mirlet7e-3p,mir3596c-3p,mirlet7a-1-3p|chr1:60624029-60624087	4411.47	8010.39	9399.82	8020.42	6530.54
mir544-3p|chr6:143041564-143041603	0	0	0	0	0
mir450-2-3p|chrX:153216314-153216348	0.5	12.5	1	5.98	1
mir26-3p,mir26a-2-3p,mir26-1-3p,mir26a-3p,mir26b-3p|chr7:70463603-70463645	30	881	169.98	92	256
mir_chr17_13437|chr17:65228794-65228876	0	0	0	0.41	1.01
mir223-3p|chrX:66206012-66206067	306.93	1195.79	1100.61	1105.12	1679.32
mir_chr5_26067|chr5:171768357-171768421	0	0	0	0	0
mir_chr4_22832|chr4:232898312-232898375	0	0	0	0	2
mir551b-5p|chr2:136556510-136556559	0	0	0	0	0
mir_chr1_1379|chr1:221371581-221371662	0	0	0	0	0
mir_chr7_28926|chr7:2437024-2437077	1	1.99	1.89	4.99	1.99
mir_chr12_11547|chr12:4437588-4437640	1	11	6	0	4
mir_chr17_14010|chr17:64881451-64881507	0	0	0	7.49	6.46
mir702-3p|chr12:24733629-24733687	0	42	0	0	2
rno-mir-466c-3p|chr17:73745318-73745357	4.02	38.14	14.45	20.31	17.8
mir542-5p|chrX:152777449-152777491	20.67	72.32	71	65.33	49.68
mir_chr5_25568|chr5:121682915-121682974	0	0	0	60.12	5.6
mir_chr5_36152|chr5:159765516-159765577	0	0.5	0	0	0.5
